,epsilon_progress,nfe
0,0,0
1,61,100
2,234,1195
3,303,2291
4,352,3384
5,383,4481
6,426,5481
7,447,6578
8,460,7672
9,466,8769
10,477,9864
11,583,10903
12,634,12319
13,665,13734
14,681,15147
15,695,16563
16,706,17979
17,711,19395
18,716,20808
19,719,22224
20,721,23640
21,724,25054
22,726,26470
23,728,27886
24,730,29300
25,731,30715
26,732,32131
27,733,33544
28,736,34956
29,739,36371
30,742,37786
31,748,39201
32,749,40617
33,753,42033
34,753,43448
35,753,44863
36,755,46278
37,756,47692
38,756,49108
39,757,50524
40,758,51940
41,759,53354
42,764,54770
43,764,56184
44,792,57377
45,809,58383
46,814,59391
47,822,60397
48,823,61404
49,829,62411
50,829,63418
51,829,64424
52,829,65430
53,829,66437
54,829,67440
55,829,68448
56,829,69455
57,829,70457
58,829,71463
59,829,72469
60,829,73476
61,829,74483
62,830,75491
63,830,76498
64,830,77506
65,830,78514
66,830,79521
67,830,80526
68,830,81532
69,857,82682
70,874,83876
71,876,84876
72,876,86072
73,877,87267
74,877,88267
75,877,89460
76,877,90657
77,877,91657
78,877,92854
79,877,94048
80,877,95247
81,877,96444
82,877,97444
83,877,98642
84,877,99839
85,877,100039
